company_name,founded_year,city,postcode_district,one_liner,primary_sector,university_affiliation,total_raised_gbp,num_funding_rounds,lead_investors,num_founders,founder_names,patents_filed,patents_granted,num_employees,annual_revenue_gbp,paying_customers,pilot_completed,peer_reviewed_research
HelixEdit Biotech,2019,Cambridge,CB2,Single-cell sequencing analysis platform for oncology research,Genomics & Synthetic Biology,London School of Economics,568000,2,Amadeus Capital Partners,1,Sophie Chen,0,0,20,0,0,Yes,Yes
PixelLens Systems,2022,Cambridge,CB3,Edge-deployed computer vision for construction safety compliance,Computer Vision,,993000,2,Cambridge Enterprise,2,Omar Zhang; Emily Jones,0,0,22,0,0,No,No
EigenEdge Systems,2021,Guildford,GU2,Quantum error correction middleware for NISQ hardware,Quantum Computing,London School of Economics,20000,0,,2,William MacLeod; Callum Kowalski,1,0,3,0,0,Yes,Yes
EcoFlux Energy,2018,Reading,RG2,Novel flow battery chemistry for long-duration energy storage,Renewable Energy & Storage,University of Cambridge,114000,1,Parkwalk Advisors; LocalGlobe,1,Alexander Williams,2,0,9,0,0,No,No
OrthoAid Medical,2018,Southampton,SO17,AI-powered wearable for continuous neurological monitoring,Medical Devices & Diagnostics,,777000,3,Innovate UK; Anthemis Group; Index Ventures,2,Mei Chen; Fraser Walsh,1,1,8,0,0,No,No
ActivWorks Automation,2020,Cambridge,CB4,Autonomous mobile robot platform for logistics logistics,Robotics & Automation,,2035000,3,Playfair Capital; Episode 1 Ventures; Anthemis Group,2,Samuel O'Brien; Olivia Williams,0,0,29,141000,19,Yes,No
FlowWorks Tech,2018,Liverpool,L1,Workflow automation platform for defence back-office operations,SaaS / Enterprise Software,,9000,1,Anthemis Group,3,Laura Jones; Mohammed Nielsen; Rahul Evans,0,0,2,0,0,Yes,No
VividSpace Tech,2019,Leicester,LE1,Hardware-software subscription for home defence management,Consumer Technology,Cardiff University,2354000,2,Cherry Ventures,2,Ethan Kumar; Angus Novak,0,0,39,78000,2,No,No
CardioSense Technologies,2020,Oxford,OX4,Non-invasive biosensor platform targeting respiratory management,Medical Devices & Diagnostics,King's College London,466000,2,Index Ventures,2,Arjun Evans; Mohammed Patel,0,0,7,170000,10,No,Yes
RetinaSight Systems,2021,Reading,RG2,Vision AI platform enabling autonomous agriculture monitoring,Computer Vision,Queen Mary University of London,42000,1,Seedcamp,3,Callum Taylor; George Sharma; William Kowalski,3,0,3,0,0,No,Yes
CarbonShift Climate,2023,Leeds,LS1,Carbon accounting SaaS for Scope 3 emissions tracking,Carbon Capture & Climate Tech,,752000,2,Entrepreneur First,1,Leila Zhang,2,1,17,15000,12,No,No
CropYield Labs,2017,Hertford,SG14,Drone-based crop health monitoring system for construction,Agricultural Technology,,519000,2,Cambridge Enterprise; LocalGlobe,3,Sarah O'Connor; William McCarthy; Omar Kumar,1,0,22,167000,13,No,No
DermSense Devices,2023,Sheffield,S10,Non-invasive biosensor platform targeting oncological management,Medical Devices & Diagnostics,,739000,1,Anthemis Group,2,James Walsh; Matthew Müller,1,1,20,22000,22,No,No
LexisText Tech,2020,Cardiff,CF10,Multilingual NLP pipeline for retail compliance automation,Natural Language Processing,University of Southampton,634000,2,Index Ventures,2,Ethan O'Brien; William Walsh,0,0,38,0,0,No,No
AlgoNode Platform,2023,London,E1,Foundation model fine-tuning infrastructure for energy use cases,Machine Learning & AI,London School of Economics,553000,2,LocalGlobe; Playfair Capital,3,Laura Johansson; Thomas Nielsen; Samuel O'Brien,1,0,11,0,0,Yes,Yes
TerraGen Systems,2024,Leeds,LS6,Novel flow battery chemistry for long-duration energy storage,Renewable Energy & Storage,University of Sheffield,104000,1,Mercia Asset Management,3,Wei Patel; George Kowalski; Sian Khan,0,0,8,0,0,Yes,Yes
SolarFlux Renewables,2021,Leicester,LE2,Second-life battery management system for grid-scale storage,Renewable Energy & Storage,University of Leicester,1732000,2,Amadeus Capital Partners; Episode 1 Ventures,2,Tariq Novak; Bridget MacLeod,1,0,16,0,0,No,No
LumenEye AI,2021,Leeds,LS2,Vision AI platform enabling autonomous healthcare monitoring,Computer Vision,University of Bristol,1078000,2,Deeptech Labs; Episode 1 Ventures; Innovate UK,4,Sophie Campbell; Declan Smith; Rahul Brown; Harry Zhang,0,0,21,0,0,No,Yes
MitoForm Research,2024,Birmingham,B4,Protein engineering platform accelerating retail discovery,Biotechnology,,49000,0,,2,Mohammed Smith; Declan Murphy,0,0,1,0,0,No,No
MechDrive Robotics,2023,Nottingham,NG7,Software-defined robotics stack for financial services assembly,Robotics & Automation,University of Sheffield,45000,0,,3,Daniel O'Connor; Daniel Evans; Arjun Singh,2,1,3,0,0,No,No
MechMotion Robotics,2019,Southampton,SO17,Software-defined robotics stack for logistics assembly,Robotics & Automation,Cardiff University,62000,1,Episode 1 Ventures,2,Daniel Chen; Lucas Novak,0,0,5,0,0,Yes,No
InferoSpark Labs,2021,Bath,BA2,Automated decision intelligence layer for healthcare workflows,Machine Learning & AI,,21000,1,Balderton Capital; Innovate UK,2,Matthew Kumar; George Liu,0,0,4,0,0,Yes,No
KineticMotion Systems,2019,Cardiff,CF10,Software-defined robotics stack for financial services assembly,Robotics & Automation,University of Southampton,224000,2,LocalGlobe; Seedcamp,3,Samuel Ahmed; Ethan Kumar; Lucas Kumar,2,1,12,0,0,No,No
MechArm Robotics,2021,Leeds,LS1,Collaborative robotic arm with adaptive gripper for agriculture,Robotics & Automation,University of Southampton,922000,2,Touchstone Innovations; Innovate UK,3,Lucas Taylor; Patrick Brown; Declan Brown,2,1,12,199000,20,No,No
SolarStore Clean,2023,Manchester,M1,AI-optimised solar forecasting platform for retail operators,Renewable Energy & Storage,University of Manchester,817000,2,Touchstone Innovations; Innovate UK,2,Arjun Davies; Lucas Liu,2,0,39,0,0,Yes,Yes
SigmaLayer Intelligence,2017,Guildford,GU1,Foundation model fine-tuning infrastructure for defence use cases,Machine Learning & AI,King's College London,88000,2,Innovate UK; Entrepreneur First,2,William Sharma; Fraser Kumar,0,0,4,0,0,Yes,Yes
NexusWorks Software,2024,Edinburgh,EH14,API-first compliance management tool for regulated legal,SaaS / Enterprise Software,,544000,2,Touchstone Innovations; Anthemis Group,2,Tariq Evans; Samuel Novak,1,1,16,0,0,No,No
VisiView Labs,2018,Newcastle,NE2,Edge-deployed computer vision for energy safety compliance,Computer Vision,Durham University,1358000,2,Seedcamp; Index Ventures; Parkwalk Advisors,1,Rishi MacLeod,0,0,32,168000,27,Yes,No
SparkSpace Tech,2017,Cambridge,CB3,On-demand marketplace for healthcare services,Consumer Technology,University College London,646000,2,Octopus Ventures; Oxford Sciences Innovation,2,Jian Murphy; Oliver Wang,1,0,12,173000,10,No,No
ServoMotion Robotics,2023,Guildford,GU1,Collaborative robotic arm with adaptive gripper for retail,Robotics & Automation,University of Oxford,318000,2,Touchstone Innovations; Oxford Sciences Innovation,1,Arjun O'Brien,0,0,7,0,0,Yes,Yes
SoilSense AgriTech,2022,Guildford,GU2,Drone-based crop health monitoring system for legal,Agricultural Technology,London School of Economics,735000,2,Innovate UK; Oxford Sciences Innovation,3,Oliver MacLeod; Daniel McCarthy; Vikram Johansson,0,0,22,0,0,No,No
SolarHarvest Systems,2023,Oxford,OX3,Second-life battery management system for grid-scale storage,Renewable Energy & Storage,Imperial College London,42000,1,Balderton Capital; Entrepreneur First,3,Ethan Campbell; Olivia O'Connor; Rohan Ahmed,3,0,5,0,0,No,Yes
DermDiagnostics Dx,2018,Newcastle,NE2,Point-of-care diagnostic device for early respiratory detection,Medical Devices & Diagnostics,,94000,1,Notion Capital; Parkwalk Advisors,2,Sarah Kumar; Harry Taylor,4,0,2,0,0,No,No
OculoScan Dx,2017,Guildford,GU2,AI-powered wearable for continuous neurological monitoring,Medical Devices & Diagnostics,,36000,1,Index Ventures; Notion Capital,4,Declan O'Brien; Zara Liu; James Jones; Rahul Brown,0,0,5,0,0,No,No
ZeroShift Technologies,2023,London,W1T,Carbon accounting SaaS for Scope 3 emissions tracking,Carbon Capture & Climate Tech,Queen Mary University of London,754000,2,Balderton Capital,2,Daniel O'Brien; Samuel Zhang,0,0,14,0,0,No,No
CtrlBase Tech,2018,Oxford,OX1,API-first compliance management tool for regulated agriculture,SaaS / Enterprise Software,King's College London,434000,2,Parkwalk Advisors; Amadeus Capital Partners,2,Lucas Taylor; Harry O'Connor,0,0,13,0,0,Yes,No
VividPoint Digital,2020,Liverpool,L1,On-demand marketplace for defence services,Consumer Technology,University of Bristol,118000,2,Playfair Capital,1,Matthew Singh,0,0,13,18000,4,No,No
LumenFrame Vision,2020,Birmingham,B4,Real-time visual inspection system for logistics quality control,Computer Vision,Heriot-Watt University,2228000,3,Parkwalk Advisors; Touchstone Innovations,2,Rishi Sharma; Chloe Kowalski,1,1,27,0,0,Yes,Yes
CogniSpark Platform,2020,Reading,RG1,Predictive analytics platform for retail optimisation,Machine Learning & AI,,578000,1,Cambridge Enterprise,3,Ethan Khan; Jian Walsh; Niamh Taylor,1,0,26,0,0,No,No
PixelLens Vision,2024,Hertford,SG14,Vision AI platform enabling autonomous manufacturing monitoring,Computer Vision,University College London,211000,2,Innovate UK,1,Oliver Khan,2,1,3,16000,4,No,No
KineticMotion Labs,2024,London,N1,Autonomous mobile robot platform for manufacturing logistics,Robotics & Automation,,40000,0,,2,Omar Ali; Declan Liu,1,0,2,0,0,Yes,No
AutoArm Labs,2020,Nottingham,NG7,Software-defined robotics stack for energy assembly,Robotics & Automation,Durham University,788000,2,Notion Capital,3,Omar Walsh; Bridget O'Brien; Leila McCarthy,1,1,26,217000,28,No,Yes
SparkNest Digital,2022,Cambridge,CB1,Hardware-software subscription for home manufacturing management,Consumer Technology,University of Cambridge,545000,2,MMC Ventures; Index Ventures,2,Tariq Khan; Rohan Wang,0,0,11,0,0,Yes,Yes
CogniFlow Intelligence,2017,Cardiff,CF24,Predictive analytics platform for defence optimisation,Machine Learning & AI,University of Bristol,314000,2,Notion Capital,3,Rohan MacLeod; Patrick Müller; Omar Smith,2,1,8,238000,11,Yes,No
ImmunoSeq Bio,2023,Bath,BA1,Novel small-molecule therapy targeting immune pathways,Drug Discovery & Therapeutics,,305000,2,Episode 1 Ventures; Index Ventures,2,Ethan Patel; Vikram Campbell,1,0,15,0,0,No,No
NeuroSense Devices,2019,Cambridge,CB1,AI-powered wearable for continuous musculoskeletal monitoring,Medical Devices & Diagnostics,,137000,1,Oxford Sciences Innovation,4,Niamh Williams; Rahul McCarthy; Omar MacLeod; Charlotte Ahmed,3,0,11,0,0,Yes,No
BioFlux Research,2020,Hertford,SG14,Microbiome-modulating therapy for respiratory management,Biotechnology,University of Oxford,15000,0,,2,Shreya Patel; Oliver Patel,1,1,4,0,0,No,No
EcoHarvest Power,2019,London,W6,Second-life battery management system for grid-scale storage,Renewable Energy & Storage,King's College London,515000,1,Playfair Capital,4,Conor Walsh; Tariq O'Connor; Patrick Ahmed; Arjun Novak,1,0,9,22000,8,No,No
PulmoDiagnostics Technologies,2024,Liverpool,L1,Point-of-care diagnostic device for early oncological detection,Medical Devices & Diagnostics,University of Edinburgh,1473000,2,Cherry Ventures; Cambridge Enterprise; Innovate UK,2,Jian Liu; Yasmin O'Connor,2,2,11,0,0,Yes,Yes
SemanticFlow NLP,2019,Oxford,OX3,Conversational AI assistant tailored for healthcare teams,Natural Language Processing,University of Oxford,257000,2,Entrepreneur First; Mercia Asset Management,3,Oliver Novak; Omar Wang; Arjun Liu,0,0,15,32000,3,No,Yes
SyntaxParse AI,2024,Nottingham,NG1,LLM-powered document intelligence for manufacturing workflows,Natural Language Processing,University of Liverpool,584000,2,Amadeus Capital Partners,2,Angus Taylor; Fatima Murphy,0,0,32,39000,4,No,Yes
SpectraBeam Photonics,2024,Cambridge,CB2,Integrated photonic chip for high-speed energy sensing,Photonics & Semiconductors,,948000,3,Index Ventures; Anthemis Group,3,Daniel Smith; Liam Ali; Matthew Brown,1,1,13,103000,23,No,No
PlanckEdge Technologies,2017,Leicester,LE1,Quantum-secure cryptography layer for enterprise construction,Quantum Computing,University of Southampton,276000,2,Innovate UK; Octopus Ventures,2,Jack Sharma; Chloe Brown,1,1,13,136000,17,No,No
MitoForm Bio,2020,Glasgow,G12,Microbiome-modulating therapy for respiratory management,Biotechnology,Cardiff University,910000,2,Balderton Capital,3,Jack Kowalski; Aoife Khan; William Singh,1,1,17,181000,24,Yes,No
BioPath Bio,2017,Guildford,GU2,ML-driven target identification for rare musculoskeletal diseases,Drug Discovery & Therapeutics,Queen Mary University of London,2401000,3,Parkwalk Advisors; Index Ventures; Cambridge Enterprise,2,Daniel Fitzgerald; James Williams,1,1,33,0,0,Yes,Yes
OptiSight Labs,2017,London,N1,Vision AI platform enabling autonomous healthcare monitoring,Computer Vision,King's College London,437000,1,Amadeus Capital Partners,2,Alexander Müller; George Taylor,0,0,9,247000,18,No,No
QuantumShift Labs,2020,Reading,RG1,Hybrid quantum-classical optimisation solver for legal,Quantum Computing,King's College London,325000,2,MMC Ventures,2,Matthew Murphy; Vikram Murphy,3,0,3,170000,14,No,No
QubitShift Systems,2022,Bath,BA2,Quantum-secure cryptography layer for enterprise agriculture,Quantum Computing,University of Sheffield,714000,1,Touchstone Innovations,2,William Khan; Alexander MacLeod,1,0,38,0,0,Yes,Yes
SpectraCore Semiconductors,2022,Leicester,LE2,Novel semiconductor process enabling lower-power logistics devices,Photonics & Semiconductors,University of Warwick,18000,1,Cambridge Enterprise,3,Daniel Ali; Fraser Nielsen; Vikram Taylor,3,1,5,0,0,Yes,No
SigmaSpark Labs,2021,Reading,RG2,Foundation model fine-tuning infrastructure for construction use cases,Machine Learning & AI,King's College London,7000,0,,2,Harry Müller; James Campbell,1,0,5,0,0,Yes,No
HelixCode Bio,2019,Birmingham,B2,Single-cell sequencing analysis platform for oncology research,Genomics & Synthetic Biology,University of Edinburgh,45000,0,,3,Thomas MacLeod; Brendan MacLeod; Oliver Smith,4,0,3,0,0,Yes,No
SoilGrow Technologies,2023,Oxford,OX1,Drone-based crop health monitoring system for retail,Agricultural Technology,London School of Economics,230000,1,Touchstone Innovations,2,William Davies; Patrick Fitzgerald,0,0,9,0,0,No,Yes
NimbusNest Co,2020,Hertford,SG13,Hardware-software subscription for home defence management,Consumer Technology,Imperial College London,10000,1,Notion Capital,4,Jian Kumar; Patrick MacLeod; Omar Wang; Angus Brown,0,0,4,0,0,No,Yes
QuantumBridge Technologies,2017,Cambridge,CB1,Quantum-secure cryptography layer for enterprise legal,Quantum Computing,,630000,2,Oxford Sciences Innovation; Seedcamp,1,Ethan Taylor,1,1,21,0,0,No,No
LatticeForge Labs,2019,Nottingham,NG1,Advanced composite material with enhanced thermal properties,Materials Science & Engineering,University of Liverpool,765000,2,Cherry Ventures,2,Ananya Johansson; Kai Liu,5,0,34,223000,15,No,No
EcoFlux Renewables,2017,Liverpool,L69,Novel flow battery chemistry for long-duration energy storage,Renewable Energy & Storage,,315000,1,Touchstone Innovations,2,Kai Johansson; Sian Wang,0,0,15,0,0,Yes,No
HydroGen Renewables,2024,Edinburgh,EH9,Second-life battery management system for grid-scale storage,Renewable Energy & Storage,Durham University,2228000,2,Entrepreneur First,3,Vikram Sharma; Fatima Liu; Matthew Murphy,0,0,11,0,0,No,No
MaterialForm Labs,2024,Newcastle,NE2,Self-healing coating technology for financial services infrastructure,Materials Science & Engineering,,16000,0,,2,Matthew Novak; Oliver Sharma,1,0,4,0,0,No,No
AlgoSpark AI,2022,Leeds,LS1,Foundation model fine-tuning infrastructure for financial services use cases,Machine Learning & AI,University of Warwick,50000,1,Parkwalk Advisors,3,Rahul Chen; Vikram Ahmed; Patrick Ali,3,1,3,0,0,No,Yes
EcoFlux Systems,2023,Reading,RG2,Second-life battery management system for grid-scale storage,Renewable Energy & Storage,University of Cambridge,316000,1,Entrepreneur First,3,Declan Murphy; Patrick Novak; Thomas Novak,1,1,15,39000,18,No,Yes
EnzymeFlux Biotech,2021,Reading,RG2,Microbiome-modulating therapy for neurological management,Biotechnology,King's College London,704000,2,Cambridge Enterprise; Deeptech Labs,2,James Walsh; Matthew Kumar,1,0,9,0,0,No,Yes
NimbusSpace App,2021,Oxford,OX2,B2C wellness app combining energy data with personalised coaching,Consumer Technology,Queen Mary University of London,965000,2,Innovate UK,2,Emma Kowalski; Rhiannon O'Connor,0,0,35,0,0,No,No
BioPath Rx,2017,Manchester,M2,ML-driven target identification for rare respiratory diseases,Drug Discovery & Therapeutics,University of Bath,30000,1,Touchstone Innovations,2,Conor Kowalski; Samuel Novak,3,1,3,0,0,Yes,Yes
RetinaLens Vision,2024,Glasgow,G1,Real-time visual inspection system for agriculture quality control,Computer Vision,University of Bath,483000,1,Balderton Capital,1,Patrick Brown,2,0,14,93000,3,Yes,Yes
LumenFrame Labs,2019,Reading,RG2,Edge-deployed computer vision for logistics safety compliance,Computer Vision,,340000,1,Seedcamp; Deeptech Labs,4,Samuel Davies; Thomas Brown; Arjun Murphy; Mei Khan,2,1,7,124000,3,No,No
LatticeBond Materials,2019,Cambridge,CB4,Self-healing coating technology for defence infrastructure,Materials Science & Engineering,Queen Mary University of London,899000,2,Touchstone Innovations; Episode 1 Ventures,2,Angus Ahmed; Vikram Novak,1,1,39,0,0,Yes,Yes
CarbonCycle Solutions,2023,Birmingham,B15,Direct air capture system using novel sorbent materials,Carbon Capture & Climate Tech,University of Glasgow,35000,1,Parkwalk Advisors,4,Tariq Chen; Fraser O'Connor; Matthew Jones; Omar Kowalski,1,0,5,0,0,No,No
OrthoScan Dx,2024,Hertford,SG13,Point-of-care diagnostic device for early oncological detection,Medical Devices & Diagnostics,University College London,526000,2,Amadeus Capital Partners,1,Sian MacLeod,2,0,13,235000,5,Yes,Yes
CompositeForm Sciences,2021,Cambridge,CB1,Bio-based polymer alternative to single-use logistics plastics,Materials Science & Engineering,University of Cambridge,1774000,3,Cherry Ventures; Amadeus Capital Partners; Deeptech Labs,4,Tariq Liu; Niamh Ahmed; Aisha O'Brien; Tariq Smith,1,1,21,189000,26,No,No
NeuroPulse Dx,2019,Guildford,GU1,Non-invasive biosensor platform targeting musculoskeletal management,Medical Devices & Diagnostics,,33000,0,,2,Leila Kowalski; Anika Khan,3,0,5,0,0,No,No
KineticForge Robotics,2019,Cambridge,CB4,Collaborative robotic arm with adaptive gripper for retail,Robotics & Automation,Queen Mary University of London,57000,1,MMC Ventures,2,Lucas Müller; Rishi McCarthy,0,0,4,0,0,Yes,Yes
NanoCore Systems,2019,Reading,RG2,LiDAR-on-chip solution for legal spatial mapping,Photonics & Semiconductors,Queen Mary University of London,553000,2,Episode 1 Ventures; Octopus Ventures,3,Rahul Kumar; Oliver O'Brien; Brendan McCarthy,1,0,13,249000,25,Yes,No
QubitEdge Systems,2019,Edinburgh,EH9,Quantum error correction middleware for NISQ hardware,Quantum Computing,,451000,2,Parkwalk Advisors,1,Conor Khan,5,1,3,0,0,No,No
HelixCode Therapeutics,2022,Birmingham,B15,Single-cell sequencing analysis platform for oncology research,Genomics & Synthetic Biology,University of Nottingham,1682000,2,Octopus Ventures; Balderton Capital,3,Kai O'Brien; Rishi Ali; Conor Chen,1,0,33,110000,7,Yes,Yes
CardioDiagnostics Health,2019,Edinburgh,EH14,AI-powered wearable for continuous neurological monitoring,Medical Devices & Diagnostics,Heriot-Watt University,532000,1,Cherry Ventures,3,Jack Liu; Jack Ali; Patrick Davies,4,0,11,80000,23,Yes,No
CardioTrack Medical,2023,Leicester,LE1,Point-of-care diagnostic device for early oncological detection,Medical Devices & Diagnostics,,143000,1,Episode 1 Ventures,3,Leila Fitzgerald; Tariq Johansson; Brendan Brown,1,0,13,0,0,No,No
PharmoSeq Sciences,2023,Hertford,SG14,ML-driven target identification for rare cardiovascular diseases,Drug Discovery & Therapeutics,University College London,148000,1,Entrepreneur First,2,Vikram Johansson; James O'Connor,2,0,13,0,0,No,Yes
HelixBridge Bio,2019,London,SE1,Synthetic biology toolkit for logistics bio-manufacturing,Genomics & Synthetic Biology,,653000,2,Innovate UK; Oxford Sciences Innovation; Notion Capital,1,Jian Williams,2,1,9,12000,1,Yes,No
OpsDesk Systems,2019,Edinburgh,EH9,Spend analytics and procurement intelligence for construction,SaaS / Enterprise Software,University of Bristol,356000,1,Balderton Capital; Seedcamp,2,Alexander Jones; Kai Müller,0,0,14,8000,5,Yes,No
NanoForge Technologies,2017,London,SW7,Bio-based polymer alternative to single-use manufacturing plastics,Materials Science & Engineering,,104000,1,Entrepreneur First,3,Mei Sharma; Callum Zhang; Harry Patel,2,0,14,0,0,No,Yes
LexisText NLP,2020,Leeds,LS1,Multilingual NLP pipeline for energy compliance automation,Natural Language Processing,University of Leeds,1269000,3,Index Ventures,1,Vikram Johansson,2,2,27,141000,1,Yes,Yes
InferoSpark AI,2023,Hertford,SG13,Foundation model fine-tuning infrastructure for manufacturing use cases,Machine Learning & AI,,510000,2,MMC Ventures,2,Daniel Campbell; Wei Kowalski,2,0,25,231000,29,Yes,No
KineticArm Systems,2019,Bristol,BS2,Collaborative robotic arm with adaptive gripper for logistics,Robotics & Automation,Durham University,958000,2,Notion Capital; Octopus Ventures,1,Laura Brown,0,0,14,119000,14,Yes,Yes
TheraForge Rx,2018,Sheffield,S3,ML-driven target identification for rare oncological diseases,Drug Discovery & Therapeutics,University of Southampton,743000,1,Touchstone Innovations,2,Harry O'Brien; Ananya Taylor,5,2,8,196000,8,No,Yes
OculoTrack Dx,2023,Bath,BA2,AI-powered wearable for continuous musculoskeletal monitoring,Medical Devices & Diagnostics,University of Exeter,697000,2,Octopus Ventures; Innovate UK,1,Thomas Ali,3,0,21,0,0,Yes,Yes
BioSeq Rx,2018,Reading,RG1,Novel small-molecule therapy targeting oncogenic pathways,Drug Discovery & Therapeutics,Queen Mary University of London,64000,1,Entrepreneur First,2,Fraser Zhang; Tariq Sharma,3,0,2,30000,1,No,No
EigenShift Systems,2017,Southampton,SO14,Quantum error correction middleware for NISQ hardware,Quantum Computing,,996000,2,Notion Capital,3,Elena Nielsen; Omar MacLeod; Rishi Kowalski,1,1,30,0,0,Yes,No
EigenBridge Systems,2022,Reading,RG1,Quantum error correction middleware for NISQ hardware,Quantum Computing,,174000,1,MMC Ventures,3,Priya O'Connor; Omar Campbell; Riya Zhang,0,0,4,0,0,No,No
VisiLens AI,2021,Leeds,LS1,Real-time visual inspection system for construction quality control,Computer Vision,University of Manchester,1587000,3,Seedcamp; Octopus Ventures,4,Rahul Liu; Fraser Murphy; Emily Patel; Mohammed Davies,0,0,13,0,0,Yes,No
