company_name,founded_year,city,postcode_district,one_liner,primary_sector,university_affiliation,total_raised_gbp,num_funding_rounds,lead_investors,num_founders,founder_names,patents_filed,patents_granted,num_employees,annual_revenue_gbp,paying_customers,pilot_completed,peer_reviewed_research
EcoGen Energy,2023,Exeter,EX4,AI-optimised solar forecasting platform for legal operators,Renewable Energy & Storage,University of Bath,313000,2,Octopus Ventures; Balderton Capital,3,Ethan Williams; Oliver Kumar; Grace Campbell,2,1,4,47000,13,Yes,Yes
SigmaLens AI,2024,Hertford,SG14,Automated decision intelligence layer for agriculture workflows,Machine Learning & AI,Imperial College London,85000,2,Cambridge Enterprise; Innovate UK,1,Hannah Kumar,1,0,5,0,0,Yes,Yes
OncoEdit Pharma,2017,Sheffield,S1,Novel small-molecule therapy targeting inflammatory pathways,Drug Discovery & Therapeutics,University of Nottingham,234000,1,Balderton Capital,3,Yasmin Nielsen; Jian Zhang; Oliver McCarthy,2,0,9,0,0,No,Yes
NeuroEdit Rx,2019,Bristol,BS1,ML-driven target identification for rare metabolic diseases,Drug Discovery & Therapeutics,Heriot-Watt University,528000,1,MMC Ventures,3,Fraser Novak; Jack Williams; Tariq Chen,5,1,28,0,0,Yes,No
CtrlWorks Platform,2021,Birmingham,B4,Workflow automation platform for retail back-office operations,SaaS / Enterprise Software,,1396000,3,Balderton Capital; Entrepreneur First; Index Ventures,1,George Wang,0,0,33,223000,11,Yes,No
KineticWorks Automation,2020,Leeds,LS6,Autonomous mobile robot platform for construction logistics,Robotics & Automation,University of Bristol,198000,1,Mercia Asset Management; Touchstone Innovations,3,Samuel Nielsen; Nadia Kowalski; George Johansson,2,1,11,0,0,Yes,Yes
CellFlux Biotech,2017,London,WC2H,Single-cell sequencing analysis platform for oncology research,Genomics & Synthetic Biology,King's College London,722000,2,Playfair Capital,1,Kai McCarthy,2,0,13,100000,6,No,No
HelixCode Genomics,2022,Cambridge,CB3,Synthetic biology toolkit for retail bio-manufacturing,Genomics & Synthetic Biology,,45000,1,Cambridge Enterprise,2,Alexander Ahmed; James Walsh,2,0,3,0,0,No,No
NeuroPath Rx,2021,Exeter,EX1,Novel small-molecule therapy targeting immune pathways,Drug Discovery & Therapeutics,,915000,3,Playfair Capital; Index Ventures; Cambridge Enterprise,2,Fraser Khan; Kai Jones,0,0,20,180000,22,No,No
NanoForm Engineering,2019,Edinburgh,EH9,Bio-based polymer alternative to single-use energy plastics,Materials Science & Engineering,University of Sheffield,571000,2,LocalGlobe; Innovate UK,2,Ethan O'Connor; Charlotte O'Connor,2,2,12,7000,4,Yes,Yes
CrisprFlux Genomics,2022,Hertford,SG13,Single-cell sequencing analysis platform for oncology research,Genomics & Synthetic Biology,Imperial College London,591000,2,Index Ventures; Balderton Capital; Deeptech Labs,3,Niamh Liu; Lucas Campbell; James Jones,3,0,20,0,0,No,No
PhotonCore Photonics,2017,London,SW7,Novel semiconductor process enabling lower-power defence devices,Photonics & Semiconductors,,414000,2,Balderton Capital,4,Callum Murphy; William Davies; Fraser Nielsen; Rahul Patel,1,1,14,0,0,No,Yes
ProteinForm Bio,2021,Guildford,GU1,Microbiome-modulating therapy for neurological management,Biotechnology,University College London,36000,0,,3,Alexander Kowalski; Laura Walsh; Harry Kumar,0,0,1,0,0,Yes,No
TheraSeq Therapeutics,2022,Oxford,OX4,Computational drug discovery platform for neurological treatment,Drug Discovery & Therapeutics,University of Oxford,112000,1,Parkwalk Advisors,1,Emily Novak,3,1,14,14000,2,No,Yes
SoilSense Farming,2018,Manchester,M2,Soil microbiome optimisation for yield improvement,Agricultural Technology,University of Birmingham,676000,2,MMC Ventures,2,Harry Ahmed; Ethan Sharma,0,0,32,0,0,No,Yes
SynBridge Genomics,2022,Nottingham,NG1,Synthetic biology toolkit for energy bio-manufacturing,Genomics & Synthetic Biology,,2338000,2,Index Ventures,2,Grace Liu; Rishi O'Connor,4,0,22,0,0,No,No
GeneCraft Genomics,2017,Guildford,GU2,CRISPR-based gene editing platform for metabolic correction,Genomics & Synthetic Biology,,394000,1,Notion Capital,2,Tariq Ahmed; Jack O'Brien,1,0,10,0,0,No,No
NexusDesk Platform,2024,Cardiff,CF24,Spend analytics and procurement intelligence for manufacturing,SaaS / Enterprise Software,,88000,1,Parkwalk Advisors,3,Rishi Müller; Ethan Taylor; Olivia Smith,1,0,3,0,0,No,No
CogniNode Platform,2023,London,N1,Predictive analytics platform for logistics optimisation,Machine Learning & AI,Queen Mary University of London,1162000,2,Cherry Ventures; Deeptech Labs; Parkwalk Advisors,3,Aoife O'Brien; Angus Walsh; Rhiannon Smith,0,0,11,0,0,No,No
FlowBase Systems,2022,Leeds,LS2,Spend analytics and procurement intelligence for logistics,SaaS / Enterprise Software,,783000,2,MMC Ventures; Notion Capital; Parkwalk Advisors,2,Matthew O'Connor; Kai MacLeod,0,0,21,158000,10,No,No
EcoFlux Clean,2020,Leeds,LS2,AI-optimised solar forecasting platform for defence operators,Renewable Energy & Storage,,12000,0,,1,Arjun Brown,0,0,1,0,0,No,No
EcoStore Power,2019,Bristol,BS8,AI-optimised solar forecasting platform for logistics operators,Renewable Energy & Storage,,35000,1,Cherry Ventures,4,Matthew Jones; Grace Evans; Jian O'Connor; Declan Patel,0,0,3,0,0,No,No
LumenLens Labs,2019,Reading,RG2,Real-time visual inspection system for logistics quality control,Computer Vision,King's College London,26000,0,,2,Patrick Wang; Vikram Murphy,0,0,5,0,0,Yes,No
LexisFlow Tech,2024,London,SE1,Multilingual NLP pipeline for energy compliance automation,Natural Language Processing,University of Cambridge,18000,1,Oxford Sciences Innovation,4,Yasmin O'Brien; Patrick Wang; Rahul Campbell; Elena Ahmed,2,1,1,0,0,No,Yes
OptiLens Labs,2023,London,W1T,Real-time visual inspection system for retail quality control,Computer Vision,,907000,2,Touchstone Innovations; Deeptech Labs,3,Harry Evans; Rishi Fitzgerald; Jian Khan,1,1,12,24000,3,Yes,Yes
DermPulse Dx,2022,Newcastle,NE1,Point-of-care diagnostic device for early musculoskeletal detection,Medical Devices & Diagnostics,University of Bristol,925000,2,Anthemis Group,2,Alexander Williams; Fraser O'Brien,1,1,32,167000,16,Yes,Yes
ImmunoSeq Rx,2018,Reading,RG2,Computational drug discovery platform for oncological treatment,Drug Discovery & Therapeutics,University of Oxford,574000,2,MMC Ventures; Playfair Capital,2,Thomas Davies; Declan Sharma,1,0,20,169000,19,No,No
RetinaLens AI,2024,Bristol,BS1,Edge-deployed computer vision for energy safety compliance,Computer Vision,University of Bristol,25000,1,Mercia Asset Management; Oxford Sciences Innovation,2,Angus Khan; Elena Patel,1,0,2,0,0,No,No
NanoBeam Labs,2020,Reading,RG1,LiDAR-on-chip solution for agriculture spatial mapping,Photonics & Semiconductors,,29000,1,Index Ventures,3,Brendan Walsh; Declan Zhang; Jian Zhang,3,1,2,0,0,No,No
LinguaParse Tech,2017,Hertford,SG13,Multilingual NLP pipeline for energy compliance automation,Natural Language Processing,,791000,3,Amadeus Capital Partners; Balderton Capital; Cherry Ventures,2,Brendan Campbell; Megan Campbell,0,0,30,192000,8,Yes,Yes
NanoCraft Engineering,2020,Leeds,LS6,Advanced composite material with enhanced thermal properties,Materials Science & Engineering,University of Birmingham,315000,2,LocalGlobe; Notion Capital,2,Fraser Patel; Omar McCarthy,3,1,8,0,0,No,No
CrisprCraft Therapeutics,2018,Cardiff,CF10,Single-cell sequencing analysis platform for oncology research,Genomics & Synthetic Biology,Durham University,870000,2,Touchstone Innovations; Playfair Capital,2,George Zhang; George Liu,2,1,40,145000,2,No,Yes
ImmunoEdit Therapeutics,2017,Nottingham,NG1,Computational drug discovery platform for metabolic treatment,Drug Discovery & Therapeutics,,35000,1,Cherry Ventures; Parkwalk Advisors,4,Jack Patel; George Taylor; Sian McCarthy; Laura Davies,1,1,4,0,0,No,No
AgriTrack Labs,2020,Glasgow,G1,Precision fermentation platform for alternative protein production,Agricultural Technology,,1526000,3,Parkwalk Advisors; Mercia Asset Management,2,Arjun Murphy; Fraser O'Connor,2,1,13,220000,14,Yes,No
BioForm Research,2023,Reading,RG2,Microbiome-modulating therapy for neurological management,Biotechnology,King's College London,526000,1,Anthemis Group,2,Matthew Murphy; Vikram Zhang,1,1,30,0,0,No,Yes
SyntaxInfer AI,2020,Bath,BA1,LLM-powered document intelligence for retail workflows,Natural Language Processing,,772000,2,Notion Capital,1,Tariq Wang,0,0,26,0,0,No,No
HelixFlux Therapeutics,2017,Sheffield,S1,CRISPR-based gene editing platform for metabolic correction,Genomics & Synthetic Biology,University of Birmingham,243000,1,LocalGlobe,2,Kai Kowalski; Hannah Chen,1,0,7,0,0,Yes,No
SpectraEdge Semiconductors,2017,Cambridge,CB1,Novel semiconductor process enabling lower-power defence devices,Photonics & Semiconductors,,2220000,3,Entrepreneur First; Oxford Sciences Innovation; Innovate UK,2,Rahul Johansson; Jian O'Brien,1,0,37,0,0,No,No
HydroFlow Clean,2019,Reading,RG1,AI-optimised solar forecasting platform for energy operators,Renewable Energy & Storage,Imperial College London,452000,1,Deeptech Labs,4,William Patel; Brendan Sharma; Aisha McCarthy; Alexander Ali,3,1,5,5000,4,No,No
OncoPulse Dx,2023,Liverpool,L69,Point-of-care diagnostic device for early oncological detection,Medical Devices & Diagnostics,University of Liverpool,530000,1,Parkwalk Advisors,2,James Smith; Tariq Zhang,2,0,14,155000,9,Yes,Yes
PixelLens Technologies,2018,Guildford,GU1,Edge-deployed computer vision for agriculture safety compliance,Computer Vision,King's College London,2081000,2,Octopus Ventures; Episode 1 Ventures,1,Kai Brown,1,1,38,25000,5,Yes,Yes
ActivArm Robotics,2019,Liverpool,L69,Collaborative robotic arm with adaptive gripper for energy,Robotics & Automation,University of Liverpool,440000,2,Amadeus Capital Partners; Parkwalk Advisors,2,Alexander Evans; Patrick Liu,0,0,11,196000,12,No,Yes
NanoCraft Materials,2017,Oxford,OX3,Advanced composite material with enhanced thermal properties,Materials Science & Engineering,Imperial College London,1908000,2,Deeptech Labs,3,Liam Walsh; Lucas Davies; Sophie Brown,1,0,23,0,0,Yes,No
PulmoTrack Dx,2020,Birmingham,B15,Point-of-care diagnostic device for early oncological detection,Medical Devices & Diagnostics,University of Sheffield,782000,3,Touchstone Innovations; Oxford Sciences Innovation,3,Mohammed O'Connor; Brendan Chen; Matthew O'Brien,3,0,16,0,0,No,Yes
AlgoFlow Intelligence,2020,London,NW1,Foundation model fine-tuning infrastructure for agriculture use cases,Machine Learning & AI,,26000,0,,3,Jian Khan; Alexander Patel; Matthew Ali,1,0,2,0,0,No,No
InferoLens Intelligence,2018,Oxford,OX3,Foundation model fine-tuning infrastructure for financial services use cases,Machine Learning & AI,London School of Economics,238000,1,Seedcamp,2,Alexander O'Brien; Alexander Murphy,2,0,6,42000,18,No,Yes
SigmaFlow Labs,2024,Guildford,GU2,Automated decision intelligence layer for financial services workflows,Machine Learning & AI,Queen Mary University of London,106000,1,Cherry Ventures,1,William Fitzgerald,0,0,7,0,0,Yes,No
ActivDrive Automation,2024,Leeds,LS2,Collaborative robotic arm with adaptive gripper for manufacturing,Robotics & Automation,University of Edinburgh,781000,2,Notion Capital,3,William Taylor; Lucas Singh; Chloe Zhang,1,0,15,65000,2,No,No
NeuroTrack Medical,2021,Southampton,SO14,Non-invasive biosensor platform targeting oncological management,Medical Devices & Diagnostics,University of Sheffield,441000,2,Innovate UK,2,Anika Ali; Arjun Fitzgerald,3,1,3,0,0,No,Yes
ServoForge Systems,2018,Newcastle,NE2,Collaborative robotic arm with adaptive gripper for logistics,Robotics & Automation,Newcastle University,180000,1,Octopus Ventures,2,Jack Müller; Declan Ahmed,1,0,6,0,0,No,Yes
NeuroForge Sciences,2017,London,E1,ML-driven target identification for rare musculoskeletal diseases,Drug Discovery & Therapeutics,University of Oxford,635000,2,Cherry Ventures; Octopus Ventures,2,Olivia Wang; James MacLeod,2,1,21,0,0,Yes,No
OculoTrack Technologies,2022,Reading,RG1,Point-of-care diagnostic device for early oncological detection,Medical Devices & Diagnostics,University of Cambridge,183000,2,Parkwalk Advisors; Amadeus Capital Partners; Entrepreneur First,4,Matthew Khan; Jian Liu; Rohan O'Brien; Lucas Fitzgerald,3,1,4,10000,4,No,Yes
PhoxonBeam Systems,2018,Reading,RG2,LiDAR-on-chip solution for manufacturing spatial mapping,Photonics & Semiconductors,University College London,328000,2,Touchstone Innovations,1,Nadia Smith,0,0,7,0,0,No,Yes
TheraPath Bio,2017,Reading,RG1,Novel small-molecule therapy targeting oncogenic pathways,Drug Discovery & Therapeutics,Queen Mary University of London,449000,2,Octopus Ventures,3,Thomas Murphy; Rishi Kowalski; Fraser Taylor,4,1,12,41000,4,Yes,Yes
AlgoLayer Labs,2020,Sheffield,S10,Foundation model fine-tuning infrastructure for energy use cases,Machine Learning & AI,University of Glasgow,562000,2,Deeptech Labs; MMC Ventures; Episode 1 Ventures,2,Niamh Kumar; George Brown,3,1,29,145000,2,Yes,Yes
CellCraft Genomics,2018,Bristol,BS1,CRISPR-based gene editing platform for neurological correction,Genomics & Synthetic Biology,Heriot-Watt University,697000,1,Octopus Ventures,2,Yasmin Wang; Jian Kumar,0,0,18,0,0,Yes,No
OpsBase Systems,2018,Leicester,LE2,API-first compliance management tool for regulated healthcare,SaaS / Enterprise Software,University of Leeds,380000,2,Cambridge Enterprise,2,Arjun Chen; Kai Brown,0,0,14,30000,5,Yes,Yes
CogniMind Analytics,2020,Glasgow,G1,Foundation model fine-tuning infrastructure for retail use cases,Machine Learning & AI,,2356000,2,Octopus Ventures,1,Ethan Chen,2,1,9,231000,10,Yes,No
FlowBase Platform,2023,Bristol,BS1,Spend analytics and procurement intelligence for manufacturing,SaaS / Enterprise Software,University of Bath,22000,0,,2,Alexander Singh; George Evans,0,0,2,0,0,No,No
SkillQuest Education,2020,Edinburgh,EH8,Credentialing and skills verification platform for financial services,EdTech,University of Leicester,1276000,2,Seedcamp,3,Lucas Kumar; Fraser McCarthy; Fraser Novak,1,1,25,51000,5,No,Yes
MicroWorks Sciences,2023,Reading,RG2,Cell-free expression system for rapid legal prototyping,Biotechnology,,646000,2,Deeptech Labs; MMC Ventures; Anthemis Group,2,James MacLeod; Lucas Patel,1,0,20,46000,4,Yes,No
CellCraft Sciences,2024,Manchester,M15,Single-cell sequencing analysis platform for oncology research,Genomics & Synthetic Biology,University of Exeter,50000,2,Innovate UK,1,Jian Liu,2,2,1,0,0,Yes,Yes
CarbonSave Technologies,2023,Southampton,SO14,Carbon accounting SaaS for Scope 3 emissions tracking,Carbon Capture & Climate Tech,Durham University,32000,0,,2,Rishi Nielsen; Priya Williams,1,0,1,0,0,No,No
PhotonBeam Labs,2024,Oxford,OX3,Integrated photonic chip for high-speed energy sensing,Photonics & Semiconductors,London School of Economics,12000,0,,3,Patrick Davies; Ananya Campbell; Grace Smith,2,0,4,0,0,Yes,Yes
CogniText Tech,2017,Reading,RG1,LLM-powered document intelligence for construction workflows,Natural Language Processing,King's College London,490000,1,Oxford Sciences Innovation,3,Sarah Müller; Alexander Kumar; Jack Jones,0,0,4,49000,22,No,Yes
FocalLens Systems,2022,London,N1,Edge-deployed computer vision for defence safety compliance,Computer Vision,,380000,1,Notion Capital,2,Rishi Evans; Harry Zhang,1,0,14,0,0,No,Yes
LatticeCore Computing,2022,Liverpool,L1,Hybrid quantum-classical optimisation solver for defence,Quantum Computing,,253000,1,Balderton Capital,2,Zara Nielsen; Lucas Khan,0,0,3,142000,21,No,No
PixelEye Labs,2017,Nottingham,NG1,Vision AI platform enabling autonomous defence monitoring,Computer Vision,,634000,2,MMC Ventures; Amadeus Capital Partners,1,Wei Liu,1,0,37,0,0,No,No
OncoPulse Devices,2018,London,SE1,AI-powered wearable for continuous respiratory monitoring,Medical Devices & Diagnostics,,640000,2,Octopus Ventures; Episode 1 Ventures,1,Vikram Kowalski,2,0,28,0,0,No,Yes
LatticeForge Sciences,2020,Exeter,EX1,Hybrid quantum-classical optimisation solver for construction,Quantum Computing,Cardiff University,944000,2,Oxford Sciences Innovation; Cambridge Enterprise,4,George Evans; Ethan Ahmed; Samuel Taylor; Sarah Müller,3,0,13,223000,4,No,Yes
CarbonNet CleanTech,2023,Leeds,LS1,Direct air capture system using novel sorbent materials,Carbon Capture & Climate Tech,University of Leeds,486000,2,LocalGlobe; MMC Ventures; Touchstone Innovations,2,Angus Kowalski; Liam Patel,0,0,5,155000,11,Yes,Yes
RetinaFrame Systems,2022,Oxford,OX1,Real-time visual inspection system for logistics quality control,Computer Vision,,783000,3,Touchstone Innovations; LocalGlobe; Oxford Sciences Innovation,3,Ethan Murphy; Rahul Brown; Alexander Sharma,1,0,31,176000,22,No,No
NanoEdge Semiconductors,2024,Guildford,GU1,LiDAR-on-chip solution for legal spatial mapping,Photonics & Semiconductors,London School of Economics,261000,2,MMC Ventures; Touchstone Innovations,2,Daniel Ahmed; Zara McCarthy,2,0,14,0,0,No,Yes
LumexFlux Systems,2024,Edinburgh,EH9,Novel semiconductor process enabling lower-power legal devices,Photonics & Semiconductors,,126000,2,Episode 1 Ventures; Amadeus Capital Partners,2,Jack Evans; Callum Zhang,3,0,15,0,0,Yes,Yes
PhotonEdge Labs,2023,Leeds,LS2,LiDAR-on-chip solution for construction spatial mapping,Photonics & Semiconductors,,1874000,3,Deeptech Labs; Parkwalk Advisors; Anthemis Group,1,Omar Fitzgerald,5,0,11,142000,12,Yes,No
PharmoSeq Bio,2019,Reading,RG2,ML-driven target identification for rare respiratory diseases,Drug Discovery & Therapeutics,,342000,2,Cherry Ventures; Parkwalk Advisors,1,Sophie Brown,5,1,14,0,0,Yes,No
LexisInfer Tech,2020,Guildford,GU1,LLM-powered document intelligence for logistics workflows,Natural Language Processing,Queen Mary University of London,1404000,3,Innovate UK; Anthemis Group,1,Omar Taylor,0,0,38,37000,5,No,No
LatticeEdge Sciences,2018,Guildford,GU2,Hybrid quantum-classical optimisation solver for healthcare,Quantum Computing,Imperial College London,722000,2,MMC Ventures; Index Ventures,4,Kai Nielsen; Oliver Liu; Thomas Zhang; Shreya Nielsen,1,0,9,25000,17,No,Yes
RetinaEye Vision,2021,Hertford,SG13,Real-time visual inspection system for energy quality control,Computer Vision,Queen Mary University of London,73000,1,Anthemis Group; Entrepreneur First,3,Jian Khan; Rahul Müller; Patrick Davies,3,1,2,0,0,Yes,No
BioBind Labs,2020,Cambridge,CB2,Cell-free expression system for rapid legal prototyping,Biotechnology,University College London,699000,2,LocalGlobe,2,Harry MacLeod; Omar Campbell,0,0,35,0,0,Yes,Yes
ProteinForm Research,2018,Manchester,M13,Microbiome-modulating therapy for musculoskeletal management,Biotechnology,University of Leeds,931000,2,Cambridge Enterprise; Oxford Sciences Innovation,1,Rohan Fitzgerald,0,0,21,0,0,Yes,No
ProteinFlux Research,2018,Guildford,GU2,Microbiome-modulating therapy for oncological management,Biotechnology,,943000,2,MMC Ventures; Cambridge Enterprise,3,Mohammed Jones; Declan Sharma; Emily Murphy,0,0,20,25000,2,Yes,No
OncoDiagnostics Devices,2022,Hertford,SG13,Point-of-care diagnostic device for early cardiovascular detection,Medical Devices & Diagnostics,,37000,1,Touchstone Innovations,4,Lucas Ahmed; Jian Nielsen; Matthew Patel; Megan Taylor,2,1,5,0,0,No,No
SeqEdit Genomics,2023,London,N1,Synthetic biology toolkit for healthcare bio-manufacturing,Genomics & Synthetic Biology,Imperial College London,1946000,2,Episode 1 Ventures; Cherry Ventures,2,Sarah Evans; Amelia Murphy,2,2,32,137000,10,No,Yes
StackSuite Systems,2018,Newcastle,NE1,Workflow automation platform for logistics back-office operations,SaaS / Enterprise Software,,100000,2,Notion Capital,2,Oliver Patel; George Smith,0,0,5,0,0,No,No
CogniInfer NLP,2017,Southampton,SO17,LLM-powered document intelligence for healthcare workflows,Natural Language Processing,University of Leicester,635000,1,Innovate UK,2,Wei Johansson; Rishi Ali,1,1,18,232000,2,No,Yes
SemanticFlow Tech,2020,Bath,BA2,LLM-powered document intelligence for defence workflows,Natural Language Processing,University of Warwick,240000,1,Episode 1 Ventures,2,Fatima Kowalski; Angus Williams,0,0,13,0,0,No,Yes
OncoEdit Therapeutics,2022,Cardiff,CF24,Computational drug discovery platform for neurological treatment,Drug Discovery & Therapeutics,University of Birmingham,34000,1,Episode 1 Ventures,2,Ethan Jones; Charlotte MacLeod,1,0,5,0,0,No,Yes
ZeroCapture Solutions,2023,London,WC2H,Direct air capture system using novel sorbent materials,Carbon Capture & Climate Tech,,805000,2,Amadeus Capital Partners; Entrepreneur First,2,Bridget Davies; George O'Brien,0,0,20,0,0,Yes,No
CrisprFlux Therapeutics,2024,Cardiff,CF10,CRISPR-based gene editing platform for metabolic correction,Genomics & Synthetic Biology,University of Leicester,44000,1,Parkwalk Advisors,2,James Novak; Brendan Patel,4,0,2,0,0,No,Yes
ActivDrive Robotics,2019,Leicester,LE1,Collaborative robotic arm with adaptive gripper for agriculture,Robotics & Automation,University of Sheffield,577000,2,Touchstone Innovations; Seedcamp,1,Patrick Williams,2,2,9,0,0,No,No
FlowDesk Software,2020,London,SW7,Spend analytics and procurement intelligence for financial services,SaaS / Enterprise Software,Imperial College London,894000,2,Mercia Asset Management; Cambridge Enterprise; Cherry Ventures,3,Oliver Walsh; Rohan Ali; Harry Ahmed,1,0,31,19000,5,No,No
SemanticRead AI,2019,Cambridge,CB3,LLM-powered document intelligence for logistics workflows,Natural Language Processing,King's College London,136000,2,Index Ventures; Episode 1 Ventures; Cherry Ventures,3,Omar Nielsen; Rishi Nielsen; Callum Williams,0,0,6,0,0,Yes,Yes
OncoTrack Medical,2024,Hertford,SG13,Point-of-care diagnostic device for early neurological detection,Medical Devices & Diagnostics,University College London,501000,2,Oxford Sciences Innovation; Octopus Ventures,3,Samuel Liu; Liam Singh; Conor Singh,1,0,39,0,0,Yes,No
InferoSpark Platform,2017,Nottingham,NG1,Predictive analytics platform for logistics optimisation,Machine Learning & AI,,731000,2,Playfair Capital; Index Ventures,1,Oliver Singh,1,1,16,96000,7,Yes,No
NeuroBridge Rx,2017,Newcastle,NE4,ML-driven target identification for rare neurological diseases,Drug Discovery & Therapeutics,University of Southampton,47000,0,,4,Harry Novak; Oliver Brown; Harry Kumar; Olivia O'Brien,3,1,3,0,0,Yes,Yes
PulmoAid Medical,2018,Cardiff,CF10,Non-invasive biosensor platform targeting metabolic management,Medical Devices & Diagnostics,,393000,2,Episode 1 Ventures; Oxford Sciences Innovation,4,George Kowalski; Omar Ahmed; Vikram Ali; Ethan O'Connor,2,2,11,183000,15,Yes,No
ScholarQuest Education,2017,Cambridge,CB1,AI tutor for STEM subjects targeting secondary education,EdTech,,313000,1,Index Ventures,2,Rishi Zhang; George Evans,0,0,5,0,0,No,No
SigmaLayer AI,2019,Cardiff,CF24,Automated decision intelligence layer for healthcare workflows,Machine Learning & AI,University of Southampton,394000,2,Touchstone Innovations,3,Jack Wang; Liam Murphy; Brendan Sharma,1,0,13,0,0,Yes,No
OrthoScan Health,2024,Hertford,SG14,AI-powered wearable for continuous respiratory monitoring,Medical Devices & Diagnostics,Imperial College London,705000,2,Amadeus Capital Partners,3,Thomas Chen; Mohammed McCarthy; Conor Kumar,1,1,25,0,0,No,Yes
PharmoBridge Pharma,2018,Oxford,OX1,Novel small-molecule therapy targeting oncogenic pathways,Drug Discovery & Therapeutics,University of Oxford,142000,1,Balderton Capital,2,Callum Wang; Mohammed Davies,2,0,14,0,0,Yes,No
